Wavelength (nm),,Transmittance,,Reflectance
1172,,0.027453945,,0.972546055
1173,,0.028042718,,0.971957282
1174,,0.02858711,,0.97141289
1175,,0.029081836,,0.970918164
1176,,0.029522162,,0.970477838
1177,,0.029904058,,0.970095942
1178,,0.030224313,,0.969775687
1179,,0.030480636,,0.969519364
1180,,0.030671711,,0.969328289
1181,,0.03079723,,0.96920277
1182,,0.030857863,,0.969142137
1183,,0.030855213,,0.969144787
1184,,0.03079174,,0.96920826
1185,,0.030670658,,0.969329342
1186,,0.030495813,,0.969504187
1187,,0.030271567,,0.969728433
1188,,0.030002647,,0.969997353
1189,,0.029694005,,0.970305995
1190,,0.029350691,,0.970649309
1191,,0.028977728,,0.971022272
1192,,0.028580003,,0.971419997
1193,,0.028162214,,0.971837786
1194,,0.027728796,,0.972271204
1195,,0.027283881,,0.972716119
1196,,0.026831265,,0.973168735
1197,,0.026374407,,0.973625593
1198,,0.025916408,,0.974083592
1199,,0.025460019,,0.974539981
1200,,0.02500765,,0.97499235
1201,,0.024561388,,0.975438612
1202,,0.024123004,,0.975876996
1203,,0.023693985,,0.976306015
1204,,0.023275563,,0.976724437
1205,,0.022868746,,0.977131254
1206,,0.022474345,,0.977525655
1207,,0.022093007,,0.977906993
1208,,0.02172523,,0.97827477
1209,,0.021371374,,0.978628626
1210,,0.021031681,,0.978968319
1211,,0.020706284,,0.979293716
1212,,0.020395221,,0.979604779
1213,,0.020098463,,0.979901537
1214,,0.019815927,,0.980184073
1215,,0.01954748,,0.98045252
1216,,0.019292961,,0.980707039
1217,,0.019052182,,0.980947818
1218,,0.018824932,,0.981175068
1219,,0.018610983,,0.981389017
1220,,0.018410096,,0.981589904
1221,,0.018222029,,0.981777971
1222,,0.018046538,,0.981953462
1223,,0.017883379,,0.982116621
1224,,0.017732312,,0.982267688
1225,,0.017593106,,0.982406894
1226,,0.017465534,,0.982534466
1227,,0.017349381,,0.982650619
1228,,0.017244448,,0.982755552
1229,,0.017150549,,0.982849451
1230,,0.017067509,,0.982932491
1231,,0.016995165,,0.983004835
1232,,0.016933364,,0.983066636
1233,,0.016881969,,0.983118031
1234,,0.016840855,,0.983159145
1235,,0.016809918,,0.983190082
1236,,0.016789067,,0.983210933
1237,,0.016778233,,0.983221767
1238,,0.016777359,,0.983222641
1239,,0.016786406,,0.983213594
1240,,0.016805349,,0.983194651
1241,,0.016834181,,0.983165819
1242,,0.016872913,,0.983127087
1243,,0.01692157,,0.98307843
1244,,0.016980196,,0.983019804
1245,,0.017048853,,0.982951147
1246,,0.017127619,,0.982872381
1247,,0.01721659,,0.98278341
1248,,0.017315882,,0.982684118
1249,,0.017425628,,0.982574372
1250,,0.01754598,,0.98245402
1251,,0.01767711,,0.98232289
